ERwin Property Ids,1075850516::User Formatted Name  [read only],0::Object Type  [read only],1073742126::Name,1075848978::Type,1075849056::Physical Data Type,1075849062::Null Option,1075849176::Physical Name,1075849452::Domain Parent,1075850516::User Formatted Name  [read only]
1075838983::1381,udtCurrency_JG,Domain,udtCurrency_JG,<Regular Domain>,money,Null,udtCurrency_JG,sdMoneyNumber_JG,udtCurrency_JG
1075838983::1385,udtGrade_JG,Domain,udtGrade_JG,<Regular Domain>,integer,Null,udtGrade_JG,sdPositiveIntegerNumber_JG,udtGrade_JG
1075838983::1390,udtSequenceNumber_JG,Domain,udtSequenceNumber_JG,<Regular Domain>,integer,Not Null,udtSequenceNumber_JG,sdIntegerNumber_JG,udtSequenceNumber_JG
1075838983::1391,udtSurrogateKeyInteger_JG,Domain,udtSurrogateKeyInteger_JG,<Regular Domain>,integer,Null,udtSurrogateKeyInteger_JG,sdKeyIntegerNumber_JG,udtSurrogateKeyInteger_JG
1075838983::1398,udtTriggerOption_JG,Domain,udtTriggerOption_JG,<Regular Domain>,char(1),Null,udtTriggerOption_JG,sdFlagCharacter_JG,udtTriggerOption_JG
1075838983::1413,sdAddressString_AN,Domain,sdAddressString_AN,<Regular Domain>,char(1),Null,sdAddressString_AN,dString,sdAddressString_AN
1075838983::1414,udtAddressLine_AN,Domain,udtAddressLine_AN,<Regular Domain>,char(35),Null,udtAddressLine_AN,sdAddressString_AN,udtAddressLine_AN
1075838983::1420,udtClassTime_AN,Domain,udtClassTime_AN,<Regular Domain>,char(5),Null,udtClassTime_AN,sdMiscellanousStrings_AG,udtClassTime_AN
1075838983::1431,udtPhoneNumber_AN,Domain,udtPhoneNumber_AN,<Regular Domain>,char(14),Null,udtPhoneNumber_AN,sdContactNumber_AG,udtPhoneNumber_AN
1075838983::1434,udtPostalCode_AN,Domain,udtPostalCode_AN,<Regular Domain>,char(5),Null,udtPostalCode_AN,sdAddressString_AN,udtPostalCode_AN
1075838983::1438,udtState_AN,Domain,udtState_AN,<Regular Domain>,char(2),Null,udtState_AN,sdAddressString_AN,udtState_AN
1075838983::1440,udtTimeStamp_AN,Domain,udtTimeStamp_AN,<Regular Domain>,Datetime2,Null,udtTimeStamp_AN,sdNanosecondPreciseDatetime_JG,udtTimeStamp_AN
1075838983::1450,udtAuditTriggeredTimestamp_WL,Domain,udtAuditTriggeredTimestamp_WL,<Regular Domain>,datetime2(7),Not Null,udtAuditTriggeredTimestamp_WL,sdAuditSysTime_AG,udtAuditTriggeredTimestamp_WL
1075838983::1455,udtCity_WL,Domain,udtCity_WL,<Regular Domain>,nvarchar(20),Null,udtCity_WL,sdAddressString_AN,udtCity_WL
1075838983::1458,udtNotes_WL,Domain,udtNotes_WL,<Regular Domain>,nvarchar(300),Null,udtNotes_WL,sdMiscellanousStrings_AG,udtNotes_WL
1075838983::1463,udtQuantity_WL,Domain,udtQuantity_WL,<Regular Domain>,integer,Not Null,udtQuantity_WL,dNumber,udtQuantity_WL
1075838983::1469,udtSysEnd_WL,Domain,udtSysEnd_WL,<Regular Domain>,datetime2(7),Not Null,udtSysEnd_WL,sdAuditSysTime_AG,udtSysEnd_WL
1075838983::1473,udtSysStart_WL,Domain,udtSysStart_WL,<Regular Domain>,datetime2(7),Not Null,udtSysStart_WL,sdAuditSysTime_AG,udtSysStart_WL
1075838983::1477,udtUnitPrice_WL,Domain,udtUnitPrice_WL,<Regular Domain>,integer,Not Null,udtUnitPrice_WL,dNumber,udtUnitPrice_WL
1075838983::1485,udtFlag_WL,Domain,udtFlag_WL,<Regular Domain>,char(1),Not Null,udtYesNoFlag_WL,sdFlagCharacter_JG,udtFlag_WL
1075838983::1502,sdContactNumber_AG,Domain,sdContactNumber_AG,<Regular Domain>,char(14),Null,sdContactNumber_AG,dString,sdContactNumber_AG
1075838983::1505,sdNameString_AG,Domain,sdNameString_AG,<Regular Domain>,char(1),Null,sdNameString_AG,dString,sdNameString_AG
1075838983::1516,udtCompanyName_AG,Domain,udtCompanyName_AG,<Regular Domain>,nvarchar(60),Null,udtCompanyName_AG,sdNameString_AG,udtCompanyName_AG
1075838983::1518,udtCountry_AG,Domain,udtCountry_AG,<Regular Domain>,char(3),Null,udtCountry_AG,sdAddressString_AN,udtCountry_AG
1075838983::1525,udtFaxNumber_AG,Domain,udtFaxNumber_AG,<Regular Domain>,char(14),Null,udtFaxNumber_AG,sdContactNumber_AG,udtFaxNumber_AG
1075838983::1527,udtFullName_AG,Domain,udtFullName_AG,<Regular Domain>,nvarchar(50),Null,udtFullName_AG,sdNameString_AG,udtFullName_AG
1075838983::1535,udtTitleOfCourtesy_AG,Domain,udtTitleOfCourtesy_AG,<Regular Domain>,char(4),Null,udtTitleOfCourtesy_AG,sdTitleString_JG,udtTitleOfCourtesy_AG
1075838983::1540,udtRegion_AG,Domain,udtRegion_AG,<Regular Domain>,nvarchar(40),Null,udtRegion_AG,sdAddressString_AN,udtRegion_AG
1075838983::1547,udtLastName_AG,Domain,udtLastName_AG,<Regular Domain>,nvarchar(25),Null,udtLastName_AG,sdNameString_AG,udtLastName_AG
1075838983::1549,sdYearMonthDay_AG,Domain,sdYearMonthDay_AG,<Regular Domain>,date,Null,sdYearMonthDay_AG,dDateTime,sdYearMonthDay_AG
1075838983::1550,udtHireDate_AG,Domain,udtHireDate_AG,<Regular Domain>,date,Null,udtHireDate_AG,sdYearMonthDay_AG,udtHireDate_AG
1075838983::1553,udtMonth_AG,Domain,udtMonth_AG,<Regular Domain>,char(2),Null,udtMonth_AG,sdYearMonthDay_AG,udtMonth_AG
1075838983::1556,udtDay_AG,Domain,udtDay_AG,<Regular Domain>,char(2),Null,udtDay_AG,sdYearMonthDay_AG,udtDay_AG
1075838983::1559,udtFirstName_AG,Domain,udtFirstName_AG,<Regular Domain>,nvarchar(25),Null,udtFirstName_AG,sdNameString_AG,udtFirstName_AG
1075838983::1561,udtBirthDate_AG,Domain,udtBirthDate_AG,<Regular Domain>,date,Null,udtBirthDate_AG,sdYearMonthDay_AG,udtBirthDate_AG
1075838983::1563,udtYear_AG,Domain,udtYear_AG,<Regular Domain>,char(4),Null,udtYear_AG,sdYearMonthDay_AG,udtYear_AG
